comment,sentiment
Virés après 1h45 de repas car selon la serveuse (dame d’une cinquantaine d’années) les réservations permettent de dîner que 2 heures pas plus. Nous avons été accueillis de manière très AGRESSIVE par cette dame qui nous a pratiquement arraché le menu dès mains et insinué...Plus,Negative
J’en avais tant entendu parler ! Formule 13€ pour burger + accompagnement + boisson. Le burger était sans goût. Le steak végé était fade comparé à ceux testés ailleurs ou même que je fais maison. J’ai pris le burger à la compote de figue et...Plus,Negative
ce n'est pas la première fois que j'y vais l'ambiance est chaleureuse et agréable le personnel est au petits soins.Pour les compagnons de table tout était correct. Mon choix n'a pas répondu à mes attentes et je l'ai signalé. Ils ont fait un geste et...Plus,Positive
Nous avons passez une très bonne soirée dans ce restaurant de palace parisien. Le personnel (de salle et de cuisine) était aux petits soins les plats excellents (merveilleux bœuf Wagyu notamment).Plus,Positive
Reservation obligatoire veille de WE Tres bruyant et la carte est allechante mais ce n’est pas homemade korean food ! Gyosa surgeles ou plutot ravioli puisque c’est l’appellation sur la carte... Dommage bad choice!,Negative
Un grand merci car c’est à chaque fois un vrai plaisir super service et excellentes pizzas ... surtout la Elvis custom 3 piments et bientôt 6 piments 👌,Positive
Délicieux crêpe à Paris. Cherchez cet endroit lorsque vous voyagez à Paris. Vous ne le regretterez pas!,Positive
C'est ma deuxième visite au Lucas-Carton d'après la période Senderens. La première fois j'écrivais que c'était presque très bien et que le temps permettrait au jeune chef de corriger ce qui devait l'être pour accéder au très haut niveau. Sauf que cette fois-ci c'est l'inverse...Plus,Positive
2 mois que nous nous léchions les babines a l'idée d'aller diner au Sur Mesure. L'arrivée au Mandarin est splendide le cadre est superbe l'endroit très prometteur. Le choix devait etre le bon. Les premières personnes qui nous accueillent sont très aimables peut etre un...Plus,Negative
Le menu dégustation à 85 € poisson et viande mais petites portions. Bon et raffiné. Belle surprise pour le dessert à la poire. Peut-être un peu cher dans l'ensemble.,Positive
L'expérience de dégustation gastronomique et de menu surprise est sympa. Par contre les associations de produits pas toujours réussies la cuisine n'est pas aussi fine qu'on espère. Certes il y a des produits exotiques surprenants mais faut-il encore que ce soit bien maîtrisé. Pour le...Plus,Negative
Nous y sommes allés pour fêter nos 3 ans avec ma conjointe le service est impeccable les conseils du chef ont été parfait nous avons passé un très bon moment dans ce restaurant. La cuisine goûteuse et la vue sur la tour Eiffel font de...Plus,Positive
J’y vais régulièrement pour différentes occasions. C’est toujours excellent et cela fait l’humanité à chaque fois.,Positive
Déjeuner excellent avec des associations surprenantes et justes !! Le personnel est très accueillant et très attentionné. À faire et à refaire !Plus,Positive
Une excellente cuisine française dans un petit resto. Le soir j'ai dîné au restaurant était étonnamment vide. C'était agréable de pouvoir voir les serveurs communiquer directement avec le chef. Le service était correct mais pas exceptionnel.,Positive
Excellente cuisine un accueil sympathique et une vraie passion à communiquer aux gourmets ! Moment de bonheur partagé,Positive
Nous y sommes allés à plusieurs reprises. Que ce soit les hamburgers les pizzas les autres plats ou les desserts nous ne sommes jamais déçus. Quantités généreuses et bonnes saveurs nous recommandons !,Positive
De passage à Paris et voulant nous faire une brasserie typique parisienne nous nous sommes arrêté au grand Colbert Bel endroit bonne nourriture et service impeccable Un excellent moment,Positive
Diner de groupe qui a été une surprise fort désagréable. Le gérant était assez sympathique mais surtout très imbu de sa personne et de ses prestations qui je peux vous l’assurer n’étaient pas à la hauteur. La quantité était très insuffisante et certainement pas pour...Plus,Negative
Cuisine de haute tenue réalisée avec d'excellents produits. Menu dégustation d'un bon rapport qualité/prix. Courte carte des vins bien composée. Goûtez au rhum arrangé au faham fameux ! Tout serait parfait si quelques grignotteries étaient servies avec l'apéritif désespérément sec et si les toilettes étaient...Plus,Positive
Pour une 2 eme visite dans ce restaurant pour fêter un anniversaire avec mes enfants nous avons été très déçus de la qualité de la cuisine proposée presque indigne d' un établissement de cette réputation! Il n'y aura pas de 3 eme fois. Nous n'...Plus,Negative
Menu à 36 euros 2 entrées 1 plat un dessert de très beaux produits cuisinés avec finesse et raffinement un régal pour les papilles et aussi pour les yeux . Le service est parfait et on prend le temps de vous expliquer ce qu'il y...Plus,Positive
C'est très bien situé mais le service est très mauvais. Les serveurs ne connaissent pas l'anglais (juste à côté des champions) et ils ne sont pas très serviables. Les fruits de mer sont très frais mais les assiettes ne sont pas aussi salées. Est très...Plus,Positive
Bien sûr tout est délicat  le service  la beauté de l assiette et très bon aussi mais pas de surprise en rapport avec le prix . Pour avoir découvert d autres grandes tables. De plus pour un menu déjà à 195€ quand même...Plus,Positive
Tombée dessus en appartant les rue parisienne... Nous avons eu une très bonne surprise... Des serveurs à l'écoute et aux petits soins le prix du menu raisonnable avec des produits simples mais de bonnes qualités. A recommander....,Positive
Quel bonheur que ce menu surprise qui nous a permis de découvrir le talent culinaire allié à ces vins parfois inattendus et de grande facture. Un seul bémol : les desserts qui étaient différents pour l'un et l'autre! Le personnel est efficace aimable et à...Plus,Positive
Un restaurant de plus qui se met au sans gluten. C'est super me suis je dit enfin une avancée. Et puis sur place la déception : en effet un personnel qui semble étonné que je sois vraiment allergique une seule et même cuisine qui rends...Plus,Negative
J'ai du me méprendre en entrant dans ce restaurant...Je m'attendais à trouver les 2 étoiles annoncées. Je me retrouve face à bistrot inconfortable prétentieux et bruyant pour ne pas dire quelconque. Commençons par la salle: Une déco pas mauvaise en soi mais avec un goût...Plus,Negative
"De toute évidence  le cadre est somptueux  brillant témoin d'une belle époque . Mais le service et la qualité de la restauration sont largement "" à la hauteur "" eux aussi! Superbes menus  aussi bien pour les entrées  les poissons ...Plus",Positive
Merveilleux restaurant juste à quelques pâtés de maisons du Musée d'Orsay. Nous avons commandé le menu ou Formuka repas qui était excellent. Une personne de notre groupe avaient des problèmes diététiques et le personnel était très arrangeant. J'y retournerais sans hésiter à ce restaurant.,Positive
super bonne adresse de qualité avec de la créativité en cuisine et une clientèle de français et étrangers,Positive
Avis d’une Libanaise. Ce n’est pas une adresse inmanquable. Pour le prix (très excessif) les plats sont bof rien d’exceptionnel. Je ne recommande pas il y a des adresses bien meilleures à tester.,Negative
Une surprise de taille en arrivant dans cette petite crêperie ! Les crêpes y sont exquises le personnel adorable ! Je reviendrai avec plaisir,Positive
Service impeccable. Part copieuse pour un prix raisonnable. Je recommande. Le seul hic comme tous les coréens c'est le manque de place pour les jambes à cause des plaques de cuisson.,Positive
Personne dans l'hexagone  ne pratique la cuisine fusion Franco asiatique au même niveau qualitatif que William Ledeuil. Des saveurs affirmées mais jamais excessives. Grand équilibre et belle maîtrise technique.Personnel charmant et érudit  jolie ambiance belle carte des vins . Rapport qualité / prix...Plus,Positive
Cuisine raffinée et gouteuse . Très bon service au client : que çe soit le service pendant le repas . C' est surprenant sans être délirant toujours très subtil sur la consistance et le goût .,Positive
A part la carte on se croirait en Inde ou en Indonésie Ce restaurant n'est plus que la pâle copie de ce qu'il a été. service fast food à des prix qui sont restés ceux de l'époque révolue de l'excellence decerestaurant Trèstrèsdécevant C'est devenu un...Plus,Negative
Diner menu à 109€ Bon rapport qualité prix sauf un supplémnt de 29€ pour un filet de st pierre sans saveur aux girolles Attente beaucoup trop longue  plus de trois quart d’heure pour avoir le plat principal Attitude curieuse de la direction qui polémique...Plus,Negative
Exelent tres bonne cuisine. Nous avons dîné le mois dernier et avons été agréablement surpris. L'accueil était très professionnel.,Positive
Expérience dînatoire excellente. De très bons plats depuis toujours. A recommander pour tout fan de plats indiens et pakistanais !!!,Positive
Nous avons passé une excellente soirée accord mets vins parfaits. Les produits sont très bien mis en valeur.,Positive
Tout était parfait comme à chaque fois. Service parfait plats au top et conseils pour choisir notre vin. Décoration soignée personnel au petit soin. Entrée sous forme d'invitation à la découverte de plusieurs charcuteries (Pâté en croûte terrines ...). Plats très bien servis et portions...Plus,Positive
J'ai adoré le 114 Faubourg. Nous avions espéré obtenir une réservation à L'Epicure également à l'hôtel Bristol mais c'était réservé. Installés pour le 114 et c'était fabuleux. La nourriture était excellente service parfait.Plus,Positive
Formule simple et tres bonne... Nans delicieux cuits devant vous. Produits bio et alternatives au lait. Equipe sympathique J'ai decouvert cet endroit par hasard et je reviendrais avec plaisir,Positive
"Table réservée ... en fait table au comptoir nous attendons qu'une table se libère. ""pas possible car c'est une table pour 4"" pourquoi ne pas séparer les 2 tables? ""mais il fallait réserver"" nous dit le serveur: nous avons réservé ! et nous l'avons bien...Plus",Negative
C’est un resto un peu froid quand on arrive genre galerie de peinture. Mais le service très accueillant vous le fait oublier très vite. C’est feutré et chic. A midi la formule entrée-plat est à 29€. Et franchement c’est de la gastronomie de haut niveau....Plus,Positive
sourirerapiditéefficacitéqualité... les mots me manquent pour dire à quel point nous avons été ravis de notre passage au Roomies! adresse à ne pas râter!!!,Positive
"A été recommandé par un ami en fait. Nous sommes entrés dans le restaurant alors qu'il y avait plein de la chambre plus loin se trouve celui d' qu'ils nous ont fait asseoir à la porte avec d'autres ""les étrangers cela sautait aux yeux. J'ai...Plus",Negative
Magnifique découverte que ce restaurant proche de l Étoile. Un écrin élégant pour une cuisine exquise. Le service est présent mais pas envahissant. La présentation des plats est contemporaine mais sans affèteries les goûts sont équilibrés la cuisson des poissons juste parfaite. A tester absolument!...Plus,Positive
Un cadre très agréable un personnel aux petits soins et une carte raffinée. Une mention particulière pour le carré d'agneau des Pyrénées particulièrement moelleux et goûteux et présenté avec originalité. L'addition est un peu chère mais on ne le regrettera pas.,Positive
Un cadre très agréable une équipe très sympathique une cuisine délicieuse tout cela avec l'impact le plus réduit possible pour notre planète. Bravo.,Positive
Les souvenirs ont la vie dure : j'avais en mémoire le bon goût et le bon sens du maître des lieux du temps de Lucas Carton et ne pensais pas qu'en meme temps que ses trois étoiles Alain Senderens aurait jeté son savoir faire aux...Plus,Negative
Produits de qualité finement travaillés. Des associations surprenantes mais très justes. La carte varie au gré des saisons. Petit bémol sur le vin correct sans être excellent.,Positive
Après avoir vu sans cesse des queues immenses devant ce resto nous avons profité d'un dimanche sans personne pour le tester. Alors à part être bien trop garniesrien à dire sur ces crêpes. Une crêpe doit avoir la valeur énergétique de 4 menus Big Mac...Plus,Negative
Nous avons été conquis ! Le personnel est très accueillant et attentif le service est parfait. Le menu de ce jour de fête était parfait ! Des mets variés et tout aussi délicieux les un que les autres. Vraiment nous y retournerons avec grand plaisir.,Positive
Des serveurs très accueillants et de bons conseils en ce qui concerne le choix des vins. Très commerçants. Nous avons été accueillis dès notre arrivée par un petit apéritif. Des plats d'une grande qualité.,Positive
Etant habitué des Restos indien Celui la était ma pire experience  dans le cheesnan on sent pas le gout de fromage la sauce masala était degeulasse aucun gout d'epices tres fad le riz basmati mal prepareé. Alors ce qu'ils Appellent epinards au fromage c'est...Plus,Negative
Très savoureux. Vous avez prévu de manger avec les mains de la grande assiette commune que la nourriture est servie. Super si vous voulez vivre une expérience différente. La nourriture était très bonne.,Positive
En visite dans le quartier j ai était séduit par le concept original avec des produits authentiques Du personnel souriant et serviable La qualité des ingrédients est excellente Une bonne adresse à garder quand vous êtes dans le quartier,Positive
Première dans ce restaurant avec vue sur les quais la Seine et la tour Eiffel. Bon accueil service sympathique et motivé plats savoureux carte des vins éclectique. Le chef vient lui même prendre la commande et à 21:00 le restaurant est quasi plein. Alors pourquoi...Plus,Positive
Il est délicat de critiquer lorsque nous sommes invités par quelqu'un. J'ai passé une bonne soirée avec ceux qui m'ont invités. Mais j'ai trouvé la qualité de la prestation très décevante. Le grand classique comme le canard rôti est servi tiède avec une sauce pâteuse...Plus,Negative
Nous nous faisions une joie d'aller au restaurant du Georges V. De plus à lire les commentaires cela ne pouvait que nous convenir ! Hélas le repas qui reste d'une grande qualité ne nous a pas impressionné voir même était plutôt peu inventif. Ce qui...Plus,Negative
Quel dommage. Un émerveillement dans l’assiette des plats incroyables qui vous font vraiment voyager mais des erreurs en salle qui passent mal pour un restaurant étoilé à Paris. - grosse confusion a l’accueil notre réservation étant perdue et les serveurs / responsables se rejetant la...Plus,Negative
Le restaurant est très bien situé dans le quartier du Marais. Le menu est essentiellement des hamburgers et c'est la raison pour laquelle nous sommes allés nous coucher. Nous avons essayé l'un des hamburgers et de poulet grillé sandwich. Les deux étaient très bons. Des...Plus,Positive
La nourriture était vraiment très bien et il y avait largement assez pour tout le monde. Malheureusement le service n'était vraiment pas terrible. Le serveur ne parlait pas anglais et qui n'étaient pas très serviables. En plus les verres n'étaient pas propres on pouvait même...Plus,Negative
On entre on ne nous dit pas bonjour ni de s'installer. Nous étions 4 et seuls dans la crêperie. La serveuse ne se déplace même pas pour prendre la commande et nous interpelle depuis le bar pour savoir ce que nous voulons. Quand c'est finement...Plus,Negative
Cinq ans que je viens au moins deux fois part an et je ne m'en lasse pas! Rien que décrocher mon téléphone pour prendre la réservation et je salive déjà! Nous avons été accueilli samedi dernier encore une fois comme des rois! Le service est...Plus,Positive
Mes amis et moi on a eu un temps on a attendu une réunion à Paris (9 d'entre nous de partout dans le monde) à l'idée était de prendre un bon repas vin et bonne compagnie. Malheureusement pour nous faites du restaurant n'a pas été...Plus,Negative
Étant à proximité de ce diner j'ai par question de facilité plusieurs fois fait appel à ces burgers. Ne connaissant auparavant aucun autre diner capable de me fournir le plaisir de manger un bon burger j'ai trouvé celui-ci des plus corrects. Après moultes expériences autres...Plus,Negative
"Nous nous sommes rendus au ""Sur Mesure"" by thierry Marx un midi. Première bonne impression accueil très bon le restaurant est décoré de façon très épuré en total contradiction avec les sanitaires qui sont .... colorés. Le service est top les serveurs sont présent sans...Plus",Positive
Bel endroit bien rénové mais dans l’assiette rien ne va plus... Après être installées j’avise le personnel discrètement avoir réservé via La Fourchette et la serveuse rétorque à voix haute à mon invitée « vous avez 50% sur le tarif » en indiquant les conditions de son...Plus,Negative
"Accueil au top service discret professionnel et sympathique ! Burger très frais et bien servis avec frites ""maison"" à tomber !!!! On est venu par hasard mais la prochaine fois qu'on revient dans le quartier  nous sommes sûr de nous y arrêter ! Prix...Plus",Positive
Quel merveilleux moment passé au Gabriel le restaurant de La Réserve Paris (le dernier né des palaces Parisiens). J'ai été littéralement transportée par la cuisine du Chef Jérôme Banctel qui nous fait voyager avec son Saumon confit au Miso ou encore son Coeur d'artichaut Macau....Plus,Positive
Cadre: Exceptionnel de jour comme de nuit Service: Exceptionnel Table: Exceptionnelle Definetely my favorite restautant in ParisPlus,Positive
L'accueil et le mobilier sont en accord. C'est froid et laid comme une cantine. Nous sommes restés 5 minutes et partis dans un restaurant où l'ambiance donne envie de diner.,Negative
Un service parfait une cuisine gastronomique franco-japonais très bien maîtrisée et un très bon rapport qualité prix je recommande les yeux fermés ! Bravo à toute l'équipe kinzo ne changer rien !,Positive
C'est pas bon L'agneau est de la semelle Le poulet cest des os Les onions bajhi sans intérêt Et cest pas donné. .. A éviter absolument,Negative
Allez-y courrez y c’est juste fabuleux!!! Une salle étriquée une carte de produits d’exception sélectionnés avec amour présentés avec passion et cuisinés avec brio. A ne pas rater,Positive
J'ai adoré mon diner chez Domenico's! Dans ce petit resto du 9ème on se croirait en Italie la déco est vraiment top! Les assiettes d'antipasti sont démentes tellement généreuses et on sent que les produits ont été bien sourcés! En plat un choix alléchant de...Plus,Positive
Nul nul germain un mais wola ça fait de la peine la prochaine fois j’irai au Bourget Kong silla kjdhd,Negative
Mon deuxième diner à l'Aspic fut de nouveau un émerveillement gastronomic: plats legers et creatifs et nombreux une qualité exceptionnelle des produits des cocktails au top! impossible de rater sa soirée. J'y retourne ASAP,Positive
Je connaissais le V mais aussi bien pour moi le George V est le meilleur restaurant par la qualité le service et le cadre,Positive
De passage à Paris nous avons découvert l’Oxte et ce fut un régal dans l’assiette et une qualité de cuisine au top et un vrai moment de plaisirservice impeccable discussion avec le chef d’origine Mexicaine très agréable et sympathique. Je précise l’influence Mexicaine est légèrement...Plus,Positive
Nous entrons et demandons s'il est possible de dîner....Le serveur nous signifie qu'il est en train d'apporter l'addition à une table qui nous conviendra et donc....Afin de mettre à l'aise tout le monde le restaurant étant très petit nous décidons par élégance de sortir à...Plus,Negative
Nous invitions des amis lointains et voulions d couvrir ce bel endroit Quel délice : la table superbe face aux fourneaux ces entrées magnifique ces poissons extra et ce dessert hum Quant au sommelier un artiste pour joindre les vins aux mets Vraiment superbe Merci...Plus,Positive
Nous avons pris notre dîner ici hier soir et c'était génial ! Dès que je me suis réveillé ce matin j'ai eu l'impression que j'écris ce commentaire car nous avons été très impressionnés par la cuisine et le service. Le menu était absolument délicieux et...Plus,Positive
En remarque limininaire à plus de mille euros pour quatre personnes on est en droit d’attendre un repas et un service impeccables. On en est loin. Arrivée à 20 h 30 nous sommes quatre l’occasion est un mariage les mariés invitent les témoins. Nous sommes...Plus,Negative
franchement on ne paie que la décoration du resto et de l'assiette mais pas pour le contenu trop de travaille pour décorer mais en final  beaucoup de gout ne vaut pas avec tout et j'ai eu mal au ventre et mal a mon portefeuille...Plus,Negative
Arrivés à 4 à 22h25 le service s'arrêtait à 22h ! Malgré cela on nous a proposé de nous préparer 4 crêpes sucrées. 4 crêpes délicieuses servies et préparées avec le sourire et accompagnées d'un très original jus de pomme chaud. Nous y retournerons pour...Plus,Positive
un restaurant ou on se sens chez soit le personnel vous fait croire unique et qu'ils sont là que pour vous on oublie vite la présence des autres tablesPlus,Positive
Nous avons passés un superbe moment au Pré Catelan. Nous avons pris le menu dégustation qui était parfait. Service de salle très professionnel. Très belle table parisienne.,Positive
Nous avons déjeuné en couple en semaine à l’Epicure. Nous avons passé plus de 3 heures à table. Ce fut un véritable enchantement tant au niveau des plats (nous avions choisi des plats « signature » macaronis truffés le cochon de la tête aux pieds...Plus,Positive
Bon ne venez pas dans ce restau de poche (12 places) pour le cadre c'est pas joli. Ne venez pas pour le service raffiné vous ne le trouverez pas... Par contre des serveurs sympas et décontractés oui ! Des pizzas excellentes oui ! Entre potes...Plus,Positive
7 plats à déguster avec les explications du chef. C'est juste divin j'ai découvert des nouvelles saveurs grâce aux plats proposés accompagnés de vins originaux. Sans oublier la carte des gins !,Positive
Pour les fans de la cuisine indienne c'est une adresse incontournable à Paris On a été pour la 2 fois et franchement je repartirai sans hésiter. Le choix proposé est large et tout est bon.,Positive
Le service est rapide et le personnel très agréable Tout ce qui est proposé est vegan (pain sans gluten possible) Le restaurant est situé à 2 pas du Centre Pompidou Rapport qualité/prix très bien pour Paris,Positive
Un moment magique. Une cuisine à la fois moderne inventive et classique. Un personnel fantastique tant par la gentillesse que par le professionnalisme !! Mention spéciale à Estelle qui nous a fait partager l'amour de son métier et de ce lieu magique !! À très...Plus,Positive
"Petit restaurant sympathique et de qualité ""caché"" dans une rue pittoresque entre Saint-Germain-des-Prés et la Seine dont la découverte constitue une agréable surprise. Menus (du marché) uniques à midi aux plats raffinés selon l'humeur du moment  menu dégustation (entre autres) le soir. Accueil sympathique...Plus",Positive
Ce restaurant parisien chique pratique des prix élevé. L’entrée (saint Jacques et chou fleur) était plus un chou fleur à la saint Jacques. Le goût était totalement masqué il y avait un manque d’équilibre. Le fiasco est arrivé avec le plat (canard sauce chocolat) Il...Plus,Negative
Toujours aussi bon habitant le quartier je vais dans ce restaurant depuis des années et c'est toujours aussi bon ce qui est rare de nos jours. Qualité des plats decor et propreté impeccable et très bon service si vous voulez manger Indien dans une ambiance...Plus,Positive
Belle découverte de ce discret établissement au coeur de Montmartre . Cuisine Coréenne très savoureuse. Service discret et très efficace aucune attente entre chaque plat. Très bon rapport qualité prix,Positive
L'accueil est super sympa les produits sont frais le cadre cadre agréable. Le très bon rapport qualité /prix fait qu'on reviendra,Positive
Le repas a duré 3 heures: exceptionnel!! Un vrai voyage gustatif tant au niveau des saveurs que des textures. Je le recommande vivement :-),Positive
Nombreuses mises en bouche plus belles et plus fines les unes que les autres pour introduire un superbe service de six plats en ce samedi 17 septembre. Les assiettes sont magnifiques à l'oeil et les saveurs sont sublimes onctueuses et d'une grande recherche et d'une...Plus,Positive
Que dire de plus ? Personnel aimable. Glaces délicieuses les meilleures que j'ai pu goûter jusque là. J'y retournerai dès que possible..,Positive
De bonnes pizzas et un bon accueil. Juste un conseil prévoir du temps. Le service était un peu long. Mais ça en vaut le coup.,Positive
Délicieux restaurant. Service impeccable accueil sympathique. Rien à dire cuisine goûteuse et raffinée. Comme d'habitude dans les restaurants indiens les végés auront le choix. Rapport qualité/prix excellent. Le + du resto : la petite sauce à la mangue en plus des trois autres plus classiques....Plus,Positive
Un vrai restaurant gastronomique : Qualité des produits inventivité du chef excellence des vins service attentionné ...que du plaisir pour une soirée sans se ruiner. De l'entrée au dessert c'était un vrai régal de saveurs et un bonheur pour les yeux. On a hâte d'y...Plus,Positive
Le menu change souvent et la cuisine reste au fil des années inventive et raffinée tout en étant traditionnelle. Un excellent rapport qualité prix pour le quartier. Autre petit plus les tables sont espacées ce qui est rare dans le 8eme arrondissement.,Positive
Cet hôtel a été le meilleur endroit où nous sommes allés par notre premier voyage à Paris. L'hôtel est vraiment bien tenu par une famille et excellent service client ! Nous y sommes allés le soir l'ambiance est romantique dans une rue non loin de...Plus,Positive
Les plats sont savoureux le service sympa… a 2 pas de l’Arc de Triomphe. Une vraie trésor culinaire a des prix vraiment correctes.Plus,Positive
Acceuil chaleureux avec un personnel très sympathique. Le buffet est certes petit mais les plats sont de qualité. Je recommande pour passer un bon moment.Plus,Positive
Les galettes n'ont rien de fantastiques les produits sont moyens et la pâte est plutôt insipide (+manque de sel). Les garnitures n'ont rien d'exceptionnel. Le service est brouillon pas attentif et nonchalant. Les crêpes ne relèvent clairement pas le niveau. Rapport qualité prix plutôt très...Plus,Negative
Pour l'anniversaire de ma Maman je me devais de lui faire honneur et de lui faire plaisir. Aujourd'hui nous choisissons de ne rien décider: - Le menu Découverte en quatre temps accompagné de vins sélectionnés pour chacun des plats par le sommelier s'impose de lui-même....Plus,Positive
Le cadre cossu est très agréable le service aux petits soins et la cuisine délicieuse toutes les conditions sont réunies pour un dîner parfait.Plus,Positive
Avec trois collègues : tous déçus... Bon contact avec les restaurateurs mais le poulet est sec le bœuf du chawarma indigne le tabouleh fait d'eau... Quelle tristesse pour les amateurs de Libanais que nous sommes !,Negative
Ce restaurant était un choix de dernière minute pour notre dernière nuit à Paris mais nous sommes heureux de l'avoir trouvé ! Les propriétaires sont un mari (le chef) femme (hôtesse & serveur) équipe. Nous avons suivi leurs conseils et nous en sommes heureux que...Plus,Positive
Rien à redire la côte de boeuf est juste succulente en goût et en cuisson. Le wagyu proposé en entrée est à déguster impérativement. Le service est parfait et très attentionné. Table réservée au dernier moment ce qui reste un luxe à Paris où l’on...Plus,Positive
Supers pizzas comme je les aime pate fine et rebords moelleux garnitures de qualite et qui sortent des traditionnelles recettes. L equipe est top !!! L accueil chaleureux. Je recommande et je reviendrai 😊,Positive
